Time,Airline,Destination,Flight Number,Aircraft Type,Wind,Runway,Circle Time
0.04,Alitalia,"Charles de Gaulle International Airport; Paris, France",AZ9645,744,Northeast,4R,2.0
0.09,American Airlines,"John F Kennedy International Airport; New York, United States",AA828,738,Northeast,4R,2.0
0.13,JetBlue Airways,"Southwest Florida International Airport; Fort Myers, United States",B62934,320,Northeast,4R,2.0
0.22,Alaska Airlines,"Los Angeles International Airport; Los Angeles, United States",AS226,738,Northeast,4R,2.0
0.24,JetBlue Airways,"Orlando International Airport; Orlando, United States",B64939,320,Northeast,4R,2.67
0.29,JetBlue Airways,"Las Américas International Airport; Santo Domingo, Dominican Republic",B69927,320,Northeast,4L,2.0
0.27,Porter Airlines,"Billy Bishop Toronto City Centre Airport; Toronto, Canada",PD3406,DH4,Northeast,4R,3.33
0.31,American Airlines,"Richmond International Airport; Richmond, United States",AA477,CRJ,Northeast,4R,2.67
0.36,JetBlue Airways,"Pittsburgh International Airport; Pittsburgh, United States",B62563,E90,Northeast,4L,2.0
0.4,British Airways,"Adolfo Suárez Madrid–Barajas Airport; Madrid, Spain",BA5800,333,Northeast,4R,2.0
0.42,JetBlue Airways,"Fort Lauderdale Hollywood International Airport; Fort Lauderdale, United States",B63800,E90,Northeast,4R,2.67
0.49,JetBlue Airways,"Cancún International Airport; Cancun, Mexico",B63790,320,Northeast,4R,2.0
0.51,United Airlines,"Zürich Airport; Zurich, Switzerland",UA5276,333,Northeast,4R,2.67
0.53,JetBlue Airways,"Norman Y. Mineta San Jose International Airport; San Jose, United States",B69879,320,Northeast,4R,3.33
0.58,Delta Air Lines,"Leonardo da Vinci–Fiumicino Airport; Rome, Italy",DL7782,332,Northeast,4R,2.67
0.62,American Airlines,"Adolfo Suárez Madrid–Barajas Airport; Madrid, Spain",AA6078,330,Northeast,4L,2.0
0.64,Virgin Atlantic Airways,"London Heathrow Airport; London, United Kingdom",VS3241,764,Northeast,4R,2.0
0.71,United Airlines,"Cleveland Hopkins International Airport; Cleveland, United States",UA2432,73G,Northeast,4R,2.0
0.78,Cape Air,"Nantucket Memorial Airport; Nantucket, United States",9K8628,CNA,Northeast,4R,2.0
0.8,Cape Air,"Hancock County-Bar Harbor Airport; Bar Harbor, United States",9K7146,CNA,Northeast,4R,2.67
0.84,Delta Air Lines,"Amsterdam Airport Schiphol; Amsterdam, Netherlands",DL1826,333,Northeast,4L,2.0
0.82,JetBlue Airways,"Dallas Fort Worth International Airport; Dallas-Fort Worth, United States",B69048,E90,Northeast,4R,3.33
0.87,Alaska Airlines,"Portland International Airport; Portland, United States",AS2642,73H,Northeast,4R,2.67
0.91,JetBlue Airways,"Philadelphia International Airport; Philadelphia, United States",B64981,E90,Northeast,4L,2.0
0.96,American Airlines,"Ronald Reagan Washington National Airport; Washington, United States",AA7475,319,Northeast,4R,2.0
0.98,Cape Air,"Albany International Airport; Albany, United States",9K1639,CNA,Northeast,4R,2.67
1.02,JetBlue Airways,"Luis Munoz Marin International Airport; San Juan, Puerto Rico",B61389,320,Northeast,4L,2.0
1.0,Cape Air,"Adirondack Regional Airport; Saranac Lake, United States",9K4947,CNA,Northeast,4R,3.33
1.04,Cape Air,"Provincetown Municipal Airport; Provincetown, United States",9K6973,CNA,Northeast,4R,2.67
1.13,American Airlines,"Los Angeles International Airport; Los Angeles, United States",AA6090,757,Northeast,4R,2.0
1.16,JetBlue Airways,"Jacksonville International Airport; Jacksonville, United States",B66253,E90,Northeast,4R,2.67
1.2,United Airlines,"Dublin Airport; Dublin, Ireland",UA9495,332,Northeast,4L,2.0
1.18,United Airlines,"Washington Dulles International Airport; Washington, United States",UA4653,739,Northeast,4R,3.33
1.24,JetBlue Airways,"Punta Cana International Airport; Punta Cana, Dominican Republic",B66175,320,Northeast,4R,2.0
1.27,Delta Air Lines,"Richmond International Airport; Richmond, United States",DL6735,CR7,Northeast,4R,2.67
1.31,Spirit Airlines,"Atlantic City International Airport; Atlantic City, United States",NK8680,319,Northeast,4R,2.0
1.33,American Airlines,"La Guardia Airport; New York, United States",AA9874,E90,Northeast,4R,2.67
1.38,Alaska Airlines,"Los Angeles International Airport; Los Angeles, United States",AS4781,320,Northeast,4L,2.0
